participant_id,session_id,gap_type,gap_key,gap_label,severity,unique_party_states_with_gap
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,role,mobility,No clear mobility/positioning option,high,3
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,role,support,No clear support/buff option,high,3
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,role,single-target-damage,No clear single-target damage option,high,1
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,range,long-range,No clear long-range option,high,534
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,role,area-damage,No clear area damage option,high,145
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,role,mobility,No clear mobility/positioning option,high,97
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,role,control,No clear control option,high,71
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,role,healing,No clear healing option,high,64
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,role,support,No clear support/buff option,high,64
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,role,single-target-damage,No clear single-target damage option,high,20
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,range,long-range,No clear long-range option,high,328
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,role,area-damage,No clear area damage option,high,71
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,role,control,No clear control option,high,25
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,role,healing,No clear healing option,high,25
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,role,single-target-damage,No clear single-target damage option,high,25
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,role,support,No clear support/buff option,high,25
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,role,mobility,No clear mobility/positioning option,high,2
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,range,long-range,No clear long-range option,high,455
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,role,area-damage,No clear area damage option,high,179
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,role,control,No clear control option,high,71
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,role,mobility,No clear mobility/positioning option,high,56
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,role,support,No clear support/buff option,high,44
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,role,healing,No clear healing option,high,42
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,role,single-target-damage,No clear single-target damage option,high,41
participant-mq70m2z5-437293,participant-mq70m2z5-437293,range,long-range,No clear long-range option,high,313
participant-mq70m2z5-437293,participant-mq70m2z5-437293,role,mobility,No clear mobility/positioning option,high,236
participant-mq70m2z5-437293,participant-mq70m2z5-437293,role,healing,No clear healing option,high,164
participant-mq70m2z5-437293,participant-mq70m2z5-437293,role,single-target-damage,No clear single-target damage option,high,127
participant-mq70m2z5-437293,participant-mq70m2z5-437293,role,area-damage,No clear area damage option,high,98
participant-mq70m2z5-437293,participant-mq70m2z5-437293,role,control,No clear control option,high,95
participant-mq70m2z5-437293,participant-mq70m2z5-437293,role,support,No clear support/buff option,high,87
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,range,long-range,No clear long-range option,high,344
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,role,area-damage,No clear area damage option,high,108
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,role,mobility,No clear mobility/positioning option,high,105
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,role,healing,No clear healing option,high,84
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,role,single-target-damage,No clear single-target damage option,high,76
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,role,control,No clear control option,high,43
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,role,support,No clear support/buff option,high,33
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,range,long-range,No clear long-range option,high,381
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,role,mobility,No clear mobility/positioning option,high,190
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,role,area-damage,No clear area damage option,high,8
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,role,control,No clear control option,high,8
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,role,healing,No clear healing option,high,8
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,role,single-target-damage,No clear single-target damage option,high,8
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,role,support,No clear support/buff option,high,8
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,range,long-range,No clear long-range option,high,386
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,role,mobility,No clear mobility/positioning option,high,13
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,role,area-damage,No clear area damage option,high,5
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,role,healing,No clear healing option,high,5
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,role,support,No clear support/buff option,high,5
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,role,control,No clear control option,high,4
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,role,single-target-damage,No clear single-target damage option,high,4
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,range,long-range,No clear long-range option,high,303
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,role,area-damage,No clear area damage option,high,303
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,role,mobility,No clear mobility/positioning option,high,35
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,role,healing,No clear healing option,high,31
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,role,control,No clear control option,high,29
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,role,single-target-damage,No clear single-target damage option,high,29
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,role,support,No clear support/buff option,high,29
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,range,long-range,No clear long-range option,high,445
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,role,control,No clear control option,high,208
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,role,mobility,No clear mobility/positioning option,high,138
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,role,support,No clear support/buff option,high,137
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,role,area-damage,No clear area damage option,high,128
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,role,healing,No clear healing option,high,71
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,role,single-target-damage,No clear single-target damage option,high,71
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,range,long-range,No clear long-range option,high,557
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,role,mobility,No clear mobility/positioning option,high,468
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,role,control,No clear control option,high,356
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,role,area-damage,No clear area damage option,high,341
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,role,healing,No clear healing option,high,289
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,role,single-target-damage,No clear single-target damage option,high,240
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,role,support,No clear support/buff option,high,58
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,range,long-range,No clear long-range option,high,454
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,role,area-damage,No clear area damage option,high,417
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,role,control,No clear control option,high,163
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,role,healing,No clear healing option,high,52
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,role,single-target-damage,No clear single-target damage option,high,52
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,role,mobility,No clear mobility/positioning option,high,51
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,role,support,No clear support/buff option,high,51
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,range,long-range,No clear long-range option,high,415
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,role,area-damage,No clear area damage option,high,51
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,role,healing,No clear healing option,high,51
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,role,control,No clear control option,high,50
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,role,mobility,No clear mobility/positioning option,high,50
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,role,single-target-damage,No clear single-target damage option,high,50
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,role,support,No clear support/buff option,high,46
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,range,long-range,No clear long-range option,high,406
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,role,area-damage,No clear area damage option,high,239
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,role,mobility,No clear mobility/positioning option,high,144
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,role,healing,No clear healing option,high,89
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,role,control,No clear control option,high,59
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,role,single-target-damage,No clear single-target damage option,high,52
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,role,support,No clear support/buff option,high,49
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,range,long-range,No clear long-range option,high,289
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,role,area-damage,No clear area damage option,high,96
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,role,control,No clear control option,high,96
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,role,mobility,No clear mobility/positioning option,high,53
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,role,support,No clear support/buff option,high,53
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,role,healing,No clear healing option,high,49
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,role,single-target-damage,No clear single-target damage option,high,49
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,range,long-range,No clear long-range option,high,345
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,role,mobility,No clear mobility/positioning option,high,168
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,role,healing,No clear healing option,high,73
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,role,area-damage,No clear area damage option,high,52
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,role,control,No clear control option,high,52
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,role,single-target-damage,No clear single-target damage option,high,44
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,role,support,No clear support/buff option,high,44
